specimen_id	image_path	box_id	rank	prompt_class	prompt_group	confidence	bbox_xyxy	area_fraction	center_x	center_y	aspect_ratio	is_text	is_auxiliary	duplicate_of	is_duplicate_suppressed	text_seed	auxiliary_seed
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0260	260	empty label	auxiliary	0.01592633	[2195, 4377, 3431, 4602]	0.01241385461166664	0.7939599209709286	0.7100268859718488	5.493333333333333	False	True	Y0087	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0261	261	blank paper label	auxiliary	0.01591195	[1149, 6066, 1228, 6139]	0.00025742790199741644	0.33545018346034433	0.9651273129843428	1.082191780821918	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0262	262	annotation label	text	0.0158856	[1237, 4722, 1472, 4869]	0.0015420230404891192	0.38230313293818796	0.7584216352996995	1.598639455782313	True	False	Y0207	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0263	263	catalog number	text	0.01588161	[2240, 5671, 3491, 5795]	0.006924440067530298	0.8087778718600056	0.9066898624070853	10.088709677419354	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0264	264	annotation label	text	0.01586358	[2680, 113, 3213, 240]	0.003021597384100419	0.8316398532317245	0.027913964890083822	4.196850393700787	True	False	Y0135	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0265	265	empty label	auxiliary	0.01567269	[994, 5788, 1479, 5934]	0.0031608236068037207	0.3489980242732148	0.9269334176814803	3.3219178082191783	False	True		False	False	True
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0266	266	type specimen label	text	0.0156619	[2189, 5418, 3491, 5704]	0.01662197723644563	0.8015805814281682	0.8794875850071169	4.5524475524475525	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0267	267	type specimen label	text	0.01561227	[1557, 5477, 1851, 5726]	0.0032677764858024742	0.4809483488569009	0.8858927724181559	1.180722891566265	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0268	268	handwritten note	text	0.01552858	[2092, 3308, 3536, 5933]	0.16920070444272706	0.79424216765453	0.7307448995729875	0.5500952380952381	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0269	269	catalog number	text	0.01542813	[1005, 5795, 1458, 5926]	0.002648958555268369	0.34758679085520744	0.9268543412936897	3.4580152671755724	True	False	Y0144	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0270	270	annotation label	text	0.01537858	[3097, 4538, 3409, 4595]	0.0007938439065583586	0.9181484617555744	0.7222046496916021	5.473684210526316	True	False	Y0271	True	False	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0271	271	catalog number	text	0.01533326	[3097, 4538, 3409, 4595]	0.0007938439065583586	0.9181484617555744	0.7222046496916021	5.473684210526316	True	False		False	True	False
L.2180891	/mnt/iusers01/sk01/f70829xm/code/nhm/data_rds/02_raw_images/main500/main500_row0005_L.2180891.jpg	Y0272	272	color checker	auxiliary	0.01523866	[400, 3649, 1068, 4117]	0.013954940252131145	0.20716906576347727	0.6141072275818441	1.4273504273504274	False	True	Y0002	True	False	False
